,110,111,similarity
10438,hr1952.110,hr1039.111,0.5435938594240052
3887,hr3000.110,hr1039.111,0.5011838409189711
10420,hr3014.110,hr1039.111,0.5208593214623903
7907,hr3800.110,hr1039.111,0.6930101677996414
6977,hr5442.110,hr1039.111,0.6138547872387364
10669,hr5885.110,hr1039.111,0.6595742362440199
12794,hr6179.110,hr1039.111,0.9444668818355704
6851,hr6357.110,hr1039.111,0.6604717203075606
9558,hr6898.110,hr1039.111,0.6877529554120014
1960,hr1150.110,hr104.111,0.6713212260064412
6462,hr135.110,hr104.111,0.5453785376578715
4269,hr1389.110,hr104.111,0.5328843586755537
1418,hr1695.110,hr104.111,0.6387866348199184
3254,hr1754.110,hr104.111,0.5964608875515767
9461,hr1819.110,hr104.111,0.5791360633958327
10614,hr2024.110,hr104.111,0.6678307850045083
4140,hr2030.110,hr104.111,0.5565946330727386
1838,hr2094.110,hr104.111,0.5661895122892299
10875,hr230.110,hr104.111,0.580064932910978
4618,hr2416.110,hr104.111,0.6203765217493725
1878,hr2544.110,hr104.111,0.560200206321102
2997,hr265.110,hr104.111,0.8023215624239084
3472,hr2822.110,hr104.111,0.5897466647463362
9899,hr3198.110,hr104.111,0.5362788265883243
4358,hr3244.110,hr104.111,0.7731476914343393
7484,hr3398.110,hr104.111,0.6168944107615056
5666,hr3417.110,hr104.111,0.7122727193411149
3622,hr3495.110,hr104.111,0.674497346868129
11930,hr351.110,hr104.111,0.6508100094258379
2902,hr3519.110,hr104.111,0.7506702695428047
2354,hr3538.110,hr104.111,0.6633879893093263
6892,hr3666.110,hr104.111,0.6344144931103406
3733,hr3724.110,hr104.111,0.5578507789232114
6784,hr3844.110,hr104.111,0.5536339036578037
12563,hr4239.110,hr104.111,0.6271017066646053
22,hr489.110,hr104.111,0.5517912809223509
8838,hr5235.110,hr104.111,0.6564954466516351
7568,hr533.110,hr104.111,0.7028455347999063
7597,hr537.110,hr104.111,0.5922925373763783
