113,112,similarity
hr1257.113,hr2787.112,0.672152233
hr1257.113,hr2960.112,0.632127424
hr1257.113,hr6309.112,0.551724164
hr1258.113,hr1617.112,0.784562538
hr1259.113,hr2504.112,0.712990965
hr126.113,hr306.112,0.839105397
hr1261.113,hr5691.112,0.855153158
hr1262.113,hr6676.112,0.786761319
hr1263.113,hr1200.112,0.529904941
hr1263.113,hr2954.112,0.527350487
hr1263.113,hr5989.112,0.776040764
hr1264.113,hr1301.112,0.709540897
hr1267.113,hr1026.112,0.698360143
hr1267.113,hr1309.112,0.695598706
hr1267.113,hr1430.112,0.572790658
hr1267.113,hr1453.112,0.675508561
hr1267.113,hr2078.112,0.577295535
hr1267.113,hr435.112,0.624673757
hr1267.113,hr5652.112,0.662299651
hr1267.113,hr5740.112,0.60547423
hr1267.113,hr6186.112,0.512618056
hr1267.113,hr700.112,0.622804868
hr1267.113,hr902.112,0.50749458
hr1268.113,hr1026.112,0.61065207
hr1268.113,hr1309.112,0.628133155
hr1268.113,hr1430.112,0.500407364
hr1268.113,hr1453.112,0.55819294
hr1268.113,hr435.112,0.567670425
hr1268.113,hr5652.112,0.619322433
hr1268.113,hr5740.112,0.549050182
hr1268.113,hr700.112,0.528094633
hr127.113,hr3600.112,0.659600237
hr1270.113,hr3414.112,0.829575596
hr1270.113,hr3581.112,0.757699948
hr1270.113,hr3844.112,0.849107244
hr1271.113,hr4249.112,0.676088985
hr1272.113,hr1275.112,0.765543264
hr1272.113,hr3363.112,0.536637714
hr1273.113,hr5825.112,0.661949695
hr1274.113,hr2741.112,0.71363157
hr1274.113,hr2787.112,0.877207533
hr1274.113,hr2799.112,0.555337203
hr1274.113,hr2960.112,0.703635815
hr1274.113,hr6309.112,0.596012791
hr1275.113,hr1052.112,0.780442917
hr1276.113,hr639.112,0.747029796
hr1277.113,hr3615.112,0.812872394
hr1277.113,hr3722.112,0.598415631
hr128.113,hr137.112,0.820284136
hr1280.113,hr5799.112,0.513068272
hr1280.113,hr6593.112,0.532845566
hr1283.113,hr6237.112,0.753195695
hr1284.113,hr3687.112,0.73256711
hr1286.113,hr1876.112,0.764266566
hr1286.113,hr2346.112,0.552124909
hr1287.113,hr5952.112,0.778448623
hr1288.113,hr1288.112,0.739659305
hr129.113,hr1489.112,0.664154828
hr1290.113,hr4269.112,0.834813168
hr1291.113,hr1456.112,0.618738641
hr1292.113,hr3720.112,0.714550787
hr1293.113,hr3466.112,0.808866437
hr1294.113,hr6009.112,0.90480593
hr1295.113,hr1813.112,0.518454525
hr1295.113,hr4108.112,0.659356291
hr1295.113,hr5906.112,0.561594716
hr1295.113,hr601.112,0.521294806
hr1295.113,hr6031.112,0.628929077
hr1295.113,hr6182.112,0.538494799
hr1296.113,hr2427.112,0.636661713
hr1297.113,hr874.112,0.773035739
hr1298.113,hr3914.112,0.750217191
hr130.113,hr1401.112,0.709950367
hr1303.113,hr1722.112,0.536739031
hr1304.113,hr6075.112,0.524447036
hr1306.113,hr1408.112,0.58104901
hr1306.113,hr2578.112,0.557955451
hr1307.113,hr442.112,0.741111
hr1308.113,hr3069.112,0.825225446
hr1308.113,hr946.112,0.754988818
hr1309.113,hr4066.112,0.798478405
hr131.113,hr1350.112,0.820788211
hr1310.113,hr1051.112,0.583688334
hr1310.113,hr1700.112,0.74693826
hr1312.113,hr2168.112,0.706941553
hr1312.113,hr6529.112,0.687002647
hr1313.113,hr4296.112,0.561416375
hr1315.113,hr116.112,0.8478006
hr1316.113,hr4072.112,0.50148832
hr1317.113,hr1479.112,0.779566557
hr1317.113,hr4260.112,0.520277033
hr1318.113,hr2721.112,0.877852902
hr1319.113,hr6022.112,0.648952871
hr132.113,hr141.112,0.658774041
hr132.113,hr145.112,0.590301349
hr132.113,hr2.112,0.522378791
hr132.113,hr215.112,0.550769259
hr1320.113,hr3198.112,0.788621577
hr1320.113,hr4120.112,0.526880389
hr1321.113,hr1770.112,0.886653307
hr1321.113,hr3184.112,0.503231244
hr1321.113,hr6224.112,0.876747565
hr1322.113,hr6110.112,0.782686341
hr1323.113,hr1180.112,0.80189423
hr1323.113,hr1730.112,0.880522299
hr1323.113,hr3360.112,0.563590021
hr1323.113,hr99.112,0.531429414
hr1325.113,hr2969.112,0.658511304
hr1326.113,hr5800.112,0.736043144
hr1328.113,hr1760.112,0.663767648
hr1329.113,hr1761.112,0.608722715
hr133.113,hr2613.112,0.585466846
hr1330.113,hr2410.112,0.703748708
hr1330.113,hr4170.112,0.779293988
hr1330.113,hr6674.112,0.650481481
hr1331.113,hr6598.112,0.784316777
hr1332.113,hr1354.112,0.882359801
hr1333.113,hr1440.112,0.677268355
