date,page,words
20141120,16.0,566.0
20141121,21.0,869.0
20141121,20.0,5458.0
20141121,0.0,601.0
20141122,0.0,0.0
20141123,0.0,0.0
20141124,1.0,1399.0
20141124,0.0,1161.0
20141125,1.0,1175.0
20141126,0.0,0.0
20141127,15.0,1194.0
20141128,0.0,0.0
20141129,5.0,555.0
20141130,22.0,187.0
20141131,0.0,0.0
20141201,10.0,1142.0
20141202,0.0,0.0
20141203,0.0,0.0
20141204,0.0,622.0
20141205,20.0,5426.0
20141206,10.0,705.0
20141206,9.0,450.0
20141207,0.0,0.0
20141208,0.0,0.0
20141209,0.0,0.0
20141210,0.0,723.0
20141211,1.0,1274.0
20141212,0.0,0.0
20141213,2.0,647.0
20141213,1.0,1294.0
20141213,1.0,1416.0
20141214,8.0,865.0
20141215,0.0,626.0
20141216,2.0,29.0
20141216,1.0,1849.0
20141216,12.0,1111.0
20141216,8.0,525.0
20141217,24.0,276.0
20141218,7.0,503.0
20141219,22.0,6319.0
20141220,10.0,1018.0
20141220,1.0,997.0
20141220,1.0,807.0
20141221,0.0,0.0
20141222,4.0,1056.0
20141223,12.0,684.0
20141224,10.0,648.0
20141225,0.0,0.0
20141226,25.0,5269.0
20141227,1.0,1349.0
20141228,0.0,0.0
20141229,0.0,0.0
20141230,9.0,115.0
20141231,6.0,660.0
20150101,1.0,1309.0
20150102,21.0,5498.0
20150103,0.0,0.0
20150104,1.0,2184.0
20150105,0.0,0.0
20150106,0.0,0.0
20150107,0.0,0.0
20150108,5.0,948.0
20150109,22.0,5007.0
20150110,10.0,498.0
20150111,8.0,1243.0
20150112,0.0,0.0
20150113,1.0,1250.0
20150114,0.0,0.0
20150115,6.0,624.0
20150115,4.0,1123.0
20150116,13.0,162.0
20150116,1.0,1301.0
20150116,24.0,4817.0
20150117,1.0,1084.0
20150118,6.0,1078.0
20150118,10.0,1280.0
20150119,9.0,1362.0
20150120,4.0,1291.0
20150121,3.0,772.0
20150121,0.0,6903.0
20150121,7.0,1086.0
20150121,0.0,359.0
20150121,0.0,729.0
20150122,0.0,0.0
20150123,0.0,0.0
20150124,0.0,0.0
20150125,0.0,0.0
20150126,4.0,667.0
20150127,0.0,0.0
20150128,0.0,0.0
20150129,0.0,0.0
20150130,0.0,0.0
20150131,10.0,409.0
20150201,0.0,0.0
20150202,0.0,0.0
20150203,0.0,0.0
20150204,0.0,0.0
20150205,0.0,0.0
20150206,0.0,648.0
20150207,0.0,0.0
20150208,0.0,0.0
20150209,0.0,0.0
20150210,13.0,975.0
20150211,0.0,0.0
20150212,0.0,0.0
20150213,4.0,1439.0
20150213,5.0,525.0
20150214,0.0,0.0
20150215,4.0,305.0
