year, zip, Q1, Q2, Q3, Q4, mean
2014, 11421, 450700, 450700, 450700, 450700, 450700
2014, 11368, 219000, 219000, 219000, 219000, 219000
2014, 11369, N/A, N/A, N/A, N/A, N/A
2014, 11370, 503370, 503370, 503370, 503370, 503370
2014, 11372, 154450, 154450, 154450, 154450, 154450
2014, 11373, 275000, 275000, 275000, 275000, 275000
2014, 11377, 139000, 139000, 139000, 139000, 139000
2014, 11378, 661944, 661944, 661944, 661944, 661944
2014, 10302, 25000000, 25000000, 25000000, 25000000, 25000000
2014, 10303, 475000, 475000, 475000, 475000, 475000
2014, 10310, 139000, 139000, 139000, 139000, 139000
2014, 10306, 324950, 324950, 324950, 324950, 324950
2014, 10307, N/A, N/A, N/A, N/A, N/A
2014, 10308, N/A, N/A, N/A, N/A, N/A
2014, 10309, N/A, N/A, N/A, N/A, N/A
2014, 10312, N/A, N/A, N/A, N/A, N/A
2014, 10301, 1499999, 1499999, 1499999, 1499999, 1499999
2014, 10304, 469000, 469000, 469000, 469000, 469000
2014, 10305, 1247000, 1247000, 1247000, 1247000, 1247000
2014, 10314, 574000, 574000, 574000, 574000, 574000
